Local Authority,2010/11,2016/17,Difference,% change,Drop/Rise/Same
Kingston Upon Thames,"£244,644","£184,433","-£60,211",-24.61%,Drop
Manchester City Council,"£960,253","£624,554","-£335,699",-34.96%,Drop
Warwickshire,"£249,707","£187,299","-£62,408",-24.99%,Drop
Norfolk,"£726,080","£558,000","-£168,080",-23.15%,Drop
Tower Hamlets,"£404,666","£256,839","-£147,827",-36.53%,Drop
Croydon,"£203,562","£165,000","-£38,562",-18.94%,Drop
Suffolk County Council,"£409,000","£348,000","-£61,000",-14.91%,Drop
Rutland CountyCouncil,£500,£0,-£500,-100.00%,Drop
North Tyneside,"£224,048",£0,"-£224,048",-100.00%,Drop
Haringey,"£431,000","£109,000","-£322,000",-74.71%,Drop
South Gloucestershire,"£162,188","£162,188",£0,0.00%,Same
Leicestershire County Council,"£206,341","£129,192","-£77,149",-37.39%,Drop
Ealing,"£271,892","£191,588","-£80,304",-29.54%,Drop
Wiltshire,"£320,076","£246,177","-£73,899",-23.09%,Drop
Barking and Dagenham,"£135,465","£131,939","-£3,526",-2.60%,Drop
Royal Greenwich,"£437,922","£426,000","-£11,922",-2.72%,Drop
Solihull Metropolitan Borough Council,"£214,259","£183,563","-£30,696",-14.33%,Drop
Oxfordshire,"£395,000","£336,000","-£59,000",-14.94%,Drop
Northamptonshire,"£657,913","£138,086","-£519,827",-79.01%,Drop
Lincolnshire County Council,"£255,874","£195,649","-£60,225",-23.54%,Drop
Wigan,"£247,000","£150,000","-£97,000",-39.27%,Drop
Royal Borough of Windsor and Maidenhead,£0,£0,£0,NA,Same
Merton,"£163,110","£136,075","-£27,035",-16.57%,Drop
Central Bedfordshire,"£200,000","£180,000","-£20,000",-10.00%,Drop
Birmingham City Council,"£1,635,000","£1,744,000","£109,000",6.67%,Rise
Richmond,"£266,837","£194,597","-£72,240",-27.07%,Drop
Rotherham,"£178,922","£230,000","£51,078",28.55%,Rise
Dudley Metropolitan Borough Council,"£482,809","£281,839","-£200,970",-41.63%,Drop
Bournemouth,"£210,399","£166,268","-£44,131",-20.97%,Drop
Redbridge,"£118,560","£84,298","-£34,262",-28.90%,Drop
City of Wolverhampton,"£1,540,000","£787,000","-£753,000",-48.90%,Drop
Bradford,"£793,417","£350,074","-£443,343",-55.88%,Drop
Sutton,"£171,285","£122,750","-£48,535",-28.34%,Drop
Middlesborough,"£105,556","£203,483","£97,927",92.77%,Rise
Blackburn,"£217,000","£127,000","-£90,000",-41.47%,Drop
Bedford,"£188,980","£185,367","-£3,613",-1.91%,Drop
Cheshire West,"£306,840","£329,932","£23,092",7.53%,Rise
